boundary_state,boundary_district,ifi_district_candidates,match_status,reason
,,Paschim Purba Bardhaman,IFI_ONLY,IFI district token absent from boundary exact names
,,Paschim Purba Medinipur,IFI_ONLY,IFI district token absent from boundary exact names
,,Pashchimi West Singhbhum,IFI_ONLY,IFI district token absent from boundary exact names
,,Pathankot,IFI_ONLY,IFI district token absent from boundary exact names
,,Peddapalli,IFI_ONLY,IFI district token absent from boundary exact names
,,Pherzawl,IFI_ONLY,IFI district token absent from boundary exact names
,,Pondicherry,IFI_ONLY,IFI district token absent from boundary exact names
,,Poonch,IFI_ONLY,IFI district token absent from boundary exact names
,,Prayagraj,IFI_ONLY,IFI district token absent from boundary exact names
,,Purba Bardhaman,IFI_ONLY,IFI district token absent from boundary exact names
,,Purba Purba Bardhaman,IFI_ONLY,IFI district token absent from boundary exact names
,,Purba Purba Medinipur,IFI_ONLY,IFI district token absent from boundary exact names
,,Purba bardhaman,IFI_ONLY,IFI district token absent from boundary exact names
,,Purbi Champaran,IFI_ONLY,IFI district token absent from boundary exact names
,,Purbi West Singhbhum,IFI_ONLY,IFI district token absent from boundary exact names
,,Purulia,IFI_ONLY,IFI district token absent from boundary exact names
,,Raigad,IFI_ONLY,IFI district token absent from boundary exact names
,,Rajanna Sircilla,IFI_ONLY,IFI district token absent from boundary exact names
,,Ramagiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Ranga Reddy,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Ranipet,IFI_ONLY,IFI district token absent from boundary exact names
,,Rudra Prayag,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Rugi,IFI_ONLY,IFI district token absent from boundary exact names
,,Rural,IFI_ONLY,IFI district token absent from boundary exact names
,,S.A.S Nagar,IFI_ONLY,IFI district token absent from boundary exact names
,,S.A.S Nagar*,IFI_ONLY,IFI district token absent from boundary exact names
,,SShrawasti,IFI_ONLY,IFI district token absent from boundary exact names
,,SShrawasti & Parts of East U.P.,IFI_ONLY,IFI district token absent from boundary exact names
,,Sahebganj,IFI_ONLY,IFI district token absent from boundary exact names
,,Sambhal,IFI_ONLY,IFI district token absent from boundary exact names
,,Sangareddy,IFI_ONLY,IFI district token absent from boundary exact names
,,Santal Pargan,IFI_ONLY,IFI district token absent from boundary exact names
,,Saraikela Kharsawan,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Saran,IFI_ONLY,IFI district token absent from boundary exact names
,,Sepahijala,IFI_ONLY,IFI district token absent from boundary exact names
,,Shahdara,IFI_ONLY,IFI district token absent from boundary exact names
,,Shamli,IFI_ONLY,IFI district token absent from boundary exact names
,,Shi Yomi,IFI_ONLY,IFI district token absent from boundary exact names
,,Shivamogga,IFI_ONLY,IFI district token absent from boundary exact names
,,Shopian,IFI_ONLY,IFI district token absent from boundary exact names
,,Siaha,IFI_ONLY,IFI district token absent from boundary exact names
,,Siang,IFI_ONLY,IFI district token absent from boundary exact names
,,Siddharthnagar,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Siddipet,IFI_ONLY,IFI district token absent from boundary exact names
,,Silchar,IFI_ONLY,IFI district token absent from boundary exact names
,,Siliguri,IFI_ONLY,IFI district token absent from boundary exact names
,,Sivasagar amd Sonitpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Some districts of Punjab,IFI_ONLY,IFI district token absent from boundary exact names
,,Some parts,IFI_ONLY,IFI district token absent from boundary exact names
,,South 24 Parganas*,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,South Andamans,IFI_ONLY,IFI district token absent from boundary exact names
,,South Assam,IFI_ONLY,IFI district token absent from boundary exact names
,,South East,IFI_ONLY,IFI district token absent from boundary exact names
,,South Gujarat,IFI_ONLY,IFI district token absent from boundary exact names
,,South Kashmir,IFI_ONLY,IFI district token absent from boundary exact names
,,South Salmara Mancachar,IFI_ONLY,IFI district token absent from boundary exact names
,,South Salmara Mancachar - Mankachar,IFI_ONLY,IFI district token absent from boundary exact names
,,South Salmara Mancachar- Mankachar,IFI_ONLY,IFI district token absent from boundary exact names
,,South West Garo Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,South West Khasi Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,Southern parts,IFI_ONLY,IFI district token absent from boundary exact names
,,Sri Muktsar Sahib,IFI_ONLY,IFI district token absent from boundary exact names
,,Sri Sri Muktsar Sahib Sahib,IFI_ONLY,IFI district token absent from boundary exact names
,,Suburbans,IFI_ONLY,IFI district token absent from boundary exact names
,,Sukma,IFI_ONLY,IFI district token absent from boundary exact names
,,Suryapet,IFI_ONLY,IFI district token absent from boundary exact names
,,Tengnoupal,IFI_ONLY,IFI district token absent from boundary exact names
,,Tenkasi,IFI_ONLY,IFI district token absent from boundary exact names
,,Tirupathur,IFI_ONLY,IFI district token absent from boundary exact names
,,Tripura,IFI_ONLY,IFI district token absent from boundary exact names
,,Tumakuru,IFI_ONLY,IFI district token absent from boundary exact names
,,Udaiur,IFI_ONLY,IFI district token absent from boundary exact names
,,Udam Singh Nagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Unakoti,IFI_ONLY,IFI district token absent from boundary exact names
,,Upper Lower Subansiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Urban,IFI_ONLY,IFI district token absent from boundary exact names
,,Uttar Kashi,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Uttar Kashi Bastar Kanker,IFI_ONLY,IFI district token absent from boundary exact names
,,Uttar Kashi Dinajpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Uttar Kashi Kashi,IFI_ONLY,IFI district token absent from boundary exact names
,,Uttar Kashia,IFI_ONLY,IFI district token absent from boundary exact names
,,Uttar Kashia Kannada,IFI_ONLY,IFI district token absent from boundary exact names
,,Vijayapura,IFI_ONLY,IFI district token absent from boundary exact names
,,Vikarabad,IFI_ONLY,IFI district token absent from boundary exact names
,,Virudhunagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Wanaparthy,IFI_ONLY,IFI district token absent from boundary exact names
,,West East Jaintia Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,West Karbi Anglong,IFI_ONLY,IFI district token absent from boundary exact names
,,West Madhya Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,West Singhbhum,IFI_ONLY,IFI district token absent from boundary exact names
,,Y.S.R.,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Yadadri Bhuvanagiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Yadadri Yadadri Bhuvanagiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Yadadri Yadadri Bhuvanagiri Yadadri Bhuvanagiri,IFI_ONLY,IFI district token absent from boundary exact names
,,adjoining areas,IFI_ONLY,IFI district token absent from boundary exact names
,,coastal districts of Andhra Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,howrah,IFI_ONLY,IFI district token absent from boundary exact names
,,nalgonda,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,neighborhood,IFI_ONLY,IFI district token absent from boundary exact names
,,neighbourhood,IFI_ONLY,IFI district token absent from boundary exact names
,,several other district (Andhra Pradesh),IFI_ONLY,IFI district token absent from boundary exact names
