boundary_state,boundary_district,ifi_district_candidates,match_status,reason
Meghalaya,West Garo Hills,West Garo Hills,EXACT_MATCH,Exact district-name token match
Andhra Pradesh,West Godavari,West Godavari,EXACT_MATCH,Exact district-name token match
Arunanchal Pradesh,West Kameng,West Kameng,EXACT_MATCH,Exact district-name token match
Meghalaya,West Khasi Hills,West Khasi Hills,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,West Nimar,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Arunanchal Pradesh,West Siang,West Siang,EXACT_MATCH,Exact district-name token match
Tripura,West Tripura,West Tripura,EXACT_MATCH,Exact district-name token match
Nagaland,Wokha,Wokha,EXACT_MATCH,Exact district-name token match
Andhra Pradesh,Y.s.r.,Y.S.R.,NORMALIZED_MATCH_REQUIRES_VERIFICATION,Case/punctuation/whitespace-normalized match; state context and historical identity require verification
Karnataka,Yadgir,Yadgir,EXACT_MATCH,Exact district-name token match
Haryana,Yamunanagar,Yamunanagar,EXACT_MATCH,Exact district-name token match
Puducherry,Yanam,Yanam,EXACT_MATCH,Exact district-name token match
Maharashtra,Yavatmal,Yavatmal,EXACT_MATCH,Exact district-name token match
Nagaland,Zunheboto,Zunheboto,EXACT_MATCH,Exact district-name token match
,,& Parts of Himachal Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,& Parts of Uttar Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,& various parts of Nagaland,IFI_ONLY,IFI district token absent from boundary exact names
,,11 districts,IFI_ONLY,IFI district token absent from boundary exact names
,,14 districts,IFI_ONLY,IFI district token absent from boundary exact names
,,14 districts of Assam,IFI_ONLY,IFI district token absent from boundary exact names
,,19 districts of Orissa,IFI_ONLY,IFI district token absent from boundary exact names
,,21 districts of Assam,IFI_ONLY,IFI district token absent from boundary exact names
,,26 districts of Rajasthan,IFI_ONLY,IFI district token absent from boundary exact names
,,29 districts affected,IFI_ONLY,IFI district token absent from boundary exact names
,,3 out of 8 districts,IFI_ONLY,IFI district token absent from boundary exact names
,,6 districts,IFI_ONLY,IFI district token absent from boundary exact names
,,Agar-Malwa,IFI_ONLY,IFI district token absent from boundary exact names
,,Ahmedabad,IFI_ONLY,IFI district token absent from boundary exact names
,,Ahmednagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Akharpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Amethi,IFI_ONLY,IFI district token absent from boundary exact names
,,Amroha,IFI_ONLY,IFI district token absent from boundary exact names
,,Ananthapuramu,IFI_ONLY,IFI district token absent from boundary exact names
,,Ananthapuramuamu,IFI_ONLY,IFI district token absent from boundary exact names
,,Arvalli,IFI_ONLY,IFI district token absent from boundary exact names
,,Ayodhya,IFI_ONLY,IFI district token absent from boundary exact names
,,Bagalkote,IFI_ONLY,IFI district token absent from boundary exact names
,,Bagalkotee,IFI_ONLY,IFI district token absent from boundary exact names
,,Bagalkotee Ballari,IFI_ONLY,IFI district token absent from boundary exact names
